ConditionIndex,FinalCash
0,283620.3194746298
1,440190.1032576502
2,366637.119088579
3,311863.4918930219
4,239289.03865909862
5,201851.17619159678
6,138798.27378989416
7,227468.52750230112
8,301724.3926098255
9,458208.4850483061
10,398516.43660895765
11,348362.2877078671
12,266778.7649586457
13,62715.96939772939
14,1290439.6672935868
15,2217521.307687588
16,1659926.6040225718
17,1272938.5281441319
18,853563.292594354
19,652566.06143248
20,381679.7787122604
21,962900.4866878404
22,1344792.1459070465
23,2246095.2302883225
24,1777920.1602519518
25,1420397.3239403318
26,955423.3555815357
27,133513.1672649493
28,4896555.163033308
29,9108881.54502927
30,5988900.796035707
31,4035115.680046034
32,2309913.454727154
33,1566870.3257522245
34,765150.386014248
35,3401511.353862591
36,4895303.313984232
37,8796754.884143101
38,6183281.929147392
39,4412966.5104859155
40,2554072.5240600235
41,208115.95678396287
42,15504223.329142926
43,30522667.5405725
44,17225675.96834727
45,9930150.991457852
46,4740022.8269714685
47,2791803.5790152
48,1117114.5099616894
49,10033097.123207508
50,14559795.085628595
51,27537203.237109523
52,16759451.037612997
53,10442667.31621846
54,5093280.936099527
55,237297.3134464049
56,40975609.42393146
57,83440117.50756133
58,39497815.35287021
59,18954708.23753595
60,7367373.000904752
61,3685726.2641969263
62,1185822.334390797
63,24715496.872381553
64,35383442.54191004
65,68901592.12974471
66,35374955.75026051
67,18802868.219968874
68,7567603.562488239
69,197588.01532298667
70,90387430.82392977
71,186048628.63152087
72,72175589.75572565
73,28023329.508142892
74,8658930.619055605
75,3597538.8973669624
76,913010.2622454857
77,50845873.71417875
78,70243023.65674704
79,137758980.96363258
80,58071493.33910353
81,25721682.38914072
82,8362252.657007507
83,119862.80586047709
84,166373523.57614714
85,338191925.4358922
86,105038742.41284342
87,32025764.68788546
88,7677876.190212847
89,2588713.0027939696
90,508279.8301502974
91,87331470.83291136
92,113851201.92531492
93,219954847.4325425
94,74004277.60580947
95,26675497.305213045
96,6855247.017605835
97,52810.63083838949
98,283620.3194746298
99,440190.1032576502
100,366637.119088579
101,311863.4918930219
102,239289.03865909862
103,201851.17619159678
104,138798.27378989416
105,227468.52750230112
106,301724.3926098255
107,458208.4850483061
108,398516.43660895765
109,348362.2877078671
110,266778.7649586457
111,62715.96939772939
112,1290439.6672935868
113,2217521.307687588
114,1659926.6040225718
115,1272938.5281441319
116,853563.292594354
117,652566.06143248
118,381679.7787122604
119,962900.4866878404
120,1344792.1459070465
121,2246095.2302883225
