Pattern,Occurrences,Success Rate,Average PnL
CDL3INSIDE,2,1.0,424.4106
CDL3STARSINSOUTH,1,1.0,15.1809
CDLGAPSIDESIDEWHITE,4,1.0,2683.338
CDLUNIQUE3RIVER,2,1.0,18.5074
CDLCOUNTERATTACK,30,0.7667,438.8475
CDLSEPARATINGLINES,4,0.75,-43.2281
CDLSHORTLINE,2076,0.7235,41.3828
CDLMARUBOZU,210,0.719,116.0245
CDLSTICKSANDWICH,49,0.7143,192.8922
CDLXSIDEGAP3METHODS,7,0.7143,-696.6173
CDLLONGLINE,356,0.7022,218.3259
CDLENGULFING,43,0.6977,-20.28
CDLBELTHOLD,578,0.6938,-284.9129
CDLCLOSINGMARUBOZU,484,0.6921,163.4775
CDLGRAVESTONEDOJI,1487,0.6913,130.3245
CDL3LINESTRIKE,101,0.6832,2040.5251
CDLINVERTEDHAMMER,1500,0.6793,194.8961
CDLDOJI,6898,0.6789,129.4183
CDLDOJISTAR,1837,0.6783,135.0124
CDLHOMINGPIGEON,362,0.674,-73.0704
CDLTAKURI,993,0.6717,55.8819
CDLLONGLEGGEDDOJI,6244,0.6715,126.6845
CDLSPINNINGTOP,4197,0.67,67.4902
CDLDRAGONFLYDOJI,996,0.6687,53.322
CDLHIGHWAVE,3329,0.6684,80.7384
CDLHARAMICROSS,1331,0.6664,133.5927
CDLRICKSHAWMAN,3089,0.6656,152.5589
CDLHARAMI,3016,0.6648,66.3205
CDLHAMMER,3176,0.6618,-6.1356
CDLHIKKAKE,5492,0.6529,98.7997
CDLMATCHINGLOW,1776,0.6486,-12.5408
CDLHIKKAKEMOD,36,0.6389,-25.5868
CDL3OUTSIDE,5,0.6,-45.6157
CDLPIERCING,18,0.5556,-569.6673
CDLCONCEALBABYSWALL,4,0.5,-1117.726
CDLMORNINGSTAR,4,0.25,-18.2965
CDLMORNINGDOJISTAR,1,0.0,-31.9447
