Pattern,Occurrences,Successes,Fails,Success Rate,Avg PnL
CDL3INSIDE,2,2,0,1.0,424.41
CDL3STARSINSOUTH,1,1,0,1.0,15.18
CDLGAPSIDESIDEWHITE,4,4,0,1.0,2683.34
CDLUNIQUE3RIVER,2,2,0,1.0,18.51
CDLCOUNTERATTACK,30,23,7,0.7667,438.85
CDLSEPARATINGLINES,4,3,1,0.75,-43.23
CDLSHORTLINE,2076,1502,574,0.7235,41.38
CDLMARUBOZU,210,151,59,0.719,116.02
CDLSTICKSANDWICH,49,35,14,0.7143,192.89
CDLXSIDEGAP3METHODS,7,5,2,0.7143,-696.62
CDLLONGLINE,356,250,106,0.7022,218.33
CDLENGULFING,43,30,13,0.6977,-20.28
CDLBELTHOLD,578,401,177,0.6938,-284.91
CDLCLOSINGMARUBOZU,484,335,149,0.6921,163.48
CDLGRAVESTONEDOJI,1487,1028,459,0.6913,130.32
CDL3LINESTRIKE,101,69,32,0.6832,2040.53
CDLINVERTEDHAMMER,1500,1019,481,0.6793,194.9
CDLDOJI,6898,4683,2215,0.6789,129.42
CDLDOJISTAR,1837,1246,591,0.6783,135.01
CDLHOMINGPIGEON,362,244,118,0.674,-73.07
CDLTAKURI,993,667,326,0.6717,55.88
CDLLONGLEGGEDDOJI,6244,4193,2051,0.6715,126.68
CDLSPINNINGTOP,4197,2812,1385,0.67,67.49
CDLDRAGONFLYDOJI,996,666,330,0.6687,53.32
CDLHIGHWAVE,3329,2225,1104,0.6684,80.74
CDLHARAMICROSS,1331,887,444,0.6664,133.59
CDLRICKSHAWMAN,3089,2056,1033,0.6656,152.56
CDLHARAMI,3016,2005,1011,0.6648,66.32
CDLHAMMER,3176,2102,1074,0.6618,-6.14
CDLHIKKAKE,5492,3586,1906,0.6529,98.8
CDLMATCHINGLOW,1776,1152,624,0.6486,-12.54
CDLHIKKAKEMOD,36,23,13,0.6389,-25.59
CDL3OUTSIDE,5,3,2,0.6,-45.62
CDLPIERCING,18,10,8,0.5556,-569.67
CDLCONCEALBABYSWALL,4,2,2,0.5,-1117.73
CDLMORNINGSTAR,4,1,3,0.25,-18.3
CDLMORNINGDOJISTAR,1,0,1,0.0,-31.94
