Prob,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
0.5545,2013-01-01 18:02:00,2013-01-01 18:03:00,1.31959,1.31959,45468.66829848665,0.0,1000.0,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5298,2013-01-01 23:43:00,2013-01-01 23:47:00,1.32586,1.32534,45253.64668969574,-23.531896,976.4681037213547,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5183,2013-01-02 04:27:00,2013-01-02 04:30:00,1.32616,1.32585,44178.74632267696,-13.695411,962.7726923613235,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5092,2013-01-02 05:23:00,2013-01-02 05:26:00,1.32454,1.3245,43612.3949006292,-1.744496,961.0281965652965,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5109,2013-01-02 05:27:00,2013-01-02 05:29:00,1.32337,1.32398,43571.85956604563,26.578834,987.6070309005843,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5233,2013-01-02 09:02:00,2013-01-02 09:03:00,1.32437,1.32425,44743.10189300199,-5.369172,982.2378586734187,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5299,2013-01-02 10:51:00,2013-01-02 10:53:00,1.32414,1.3241,44507.58342804017,-1.780303,980.4575553362953,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5039,2013-01-02 11:03:00,2013-01-02 11:08:00,1.32365,1.32171,44443.35989134417,-86.220118,894.2374371470853,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.6203,2013-01-02 12:26:00,2013-01-02 12:27:00,1.31606,1.31634,40768.84505936289,11.415277,905.6527137637092,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5203,2013-01-02 14:04:00,2013-01-02 14:05:00,1.31623,1.31599,41283.94188388241,-9.908146,895.7445677115767,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.588,2013-01-02 17:07:00,2013-01-02 17:09:00,1.31782,1.31801,40783.015937453216,7.748773,903.4933407396892,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5067,2013-01-02 18:13:00,2013-01-02 18:16:00,1.31809,1.31803,41127.3892104343,-2.467643,901.0256973870652,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.6249,2013-01-02 18:31:00,2013-01-02 18:34:00,1.31767,1.31777,41028.1343911783,4.102813,905.1285108261917,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5237,2013-01-02 19:59:00,2013-01-02 20:02:00,1.31818,1.31827,41199.00973279181,3.707911,908.836421702149,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.532,2013-01-02 20:05:00,2013-01-02 20:06:00,1.31742,1.3174,41391.64829904582,-0.827833,908.0085887361627,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5135,2013-01-02 21:47:00,2013-01-02 21:49:00,1.31658,1.31656,41380.3303438984,-0.827607,907.1809821292793,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5035,2013-01-02 21:55:00,2013-01-02 21:58:00,1.31304,1.31304,41454.075220676255,0.0,907.1809821292793,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5045,2013-01-03 02:46:00,2013-01-03 02:50:00,1.31367,1.31359,41434.194986379196,-3.314736,903.8662465303748,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5155,2013-01-03 04:53:00,2013-01-03 04:55:00,1.31472,1.31455,41249.82870255452,-7.012471,896.8537756509404,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5178,2013-01-03 09:31:00,2013-01-03 09:32:00,1.31016,1.31033,41072.255708506156,6.982283,903.8360591213866,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.515,2013-01-03 10:51:00,2013-01-03 10:55:00,1.30998,1.30946,41397.703436146505,-21.526806,882.3092533345964,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5619,2013-01-03 12:02:00,2013-01-03 12:04:00,1.31055,1.3105,40394.15146318399,-2.019708,880.2895457614329,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5863,2013-01-03 13:06:00,2013-01-03 13:09:00,1.31089,1.31099,40291.231717143295,4.029123,884.3186689331468,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5195,2013-01-03 15:23:00,2013-01-03 15:24:00,1.30538,1.30546,40646.49384546171,3.25172,887.5703884407869,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5081,2013-01-03 16:59:00,2013-01-03 17:00:00,1.30481,1.30506,40813.77618691397,10.203444,897.7738324875188,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5092,2013-01-03 17:21:00,2013-01-03 17:22:00,1.30423,1.30413,41301.327180981214,-4.130133,893.6436997694211,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5319,2013-01-03 17:35:00,2013-01-03 17:40:00,1.30385,1.30398,41123.30558435806,5.34603,898.9897294953862,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5316,2013-01-03 21:41:00,2013-01-03 21:44:00,1.30237,1.30249,41416.32851626125,4.969959,903.9596889173333,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5163,2013-01-04 01:57:00,2013-01-04 01:58:00,1.30379,1.30379,41599.936596415064,0.0,903.9596889173333,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5226,2013-01-04 02:07:00,2013-01-04 02:08:00,1.30188,1.30172,41660.96824211141,-6.665755,897.293933998598,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5005,2013-01-04 04:20:00,2013-01-04 04:26:00,1.30028,1.30088,41404.648260309994,24.842789,922.1367229547814,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5012,2013-01-04 05:59:00,2013-01-04 06:01:00,1.30058,1.30074,42541.17653453603,6.806588,928.9433112003045,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
0.5123,2013-01-04 16:13:00,2013-01-04 16:19:00,1.3071,1.30731,42641.41892129009,8.954698,937.8980091737773,Signal Exit,0.006,0.02,0.006,0.02,35,55,1.75,0.6
