time,open,high,low,close,tick_volume,spread,real_volume,rsi
1745346960,1.14795,1.14812,1.14777,1.14791,145,0,0,
1745347020,1.14791,1.14797,1.14778,1.14787,97,0,0,
1745347080,1.14789,1.14799,1.14774,1.14785,201,0,0,
1745347140,1.14785,1.14798,1.14781,1.14796,105,0,0,
1745347200,1.14796,1.14801,1.14777,1.14789,131,0,0,
1745347260,1.14788,1.14811,1.14787,1.14794,111,0,0,
1745347320,1.14793,1.14802,1.14778,1.14799,196,0,0,
1745347380,1.14800,1.14801,1.14788,1.14798,132,0,0,
1745347440,1.14798,1.14813,1.14786,1.14786,137,0,0,
1745347500,1.14787,1.14802,1.14787,1.14797,119,0,0,
1745347560,1.14797,1.14803,1.14773,1.14775,177,0,0,
1745347620,1.14773,1.14784,1.14765,1.14780,155,0,0,
1745347680,1.14779,1.14781,1.14757,1.14777,95,0,0,
1745347740,1.14777,1.14788,1.14756,1.14758,191,0,0,
1745347800,1.14759,1.14774,1.14759,1.14770,173,0,0,41.17647
1745347860,1.14771,1.14777,1.14763,1.14770,127,0,0,41.17647
1745347920,1.14770,1.14771,1.14728,1.14736,153,0,0,30.92810
1745347980,1.14736,1.14754,1.14736,1.14745,157,0,0,35.50410
1745348040,1.14746,1.14792,1.14735,1.14791,144,0,0,52.73838
1745348100,1.14791,1.14791,1.14735,1.14750,184,0,0,41.97276
1745348160,1.14750,1.14761,1.14739,1.14745,177,0,0,40.87688
1745348220,1.14745,1.14755,1.14734,1.14734,221,0,0,38.49559
1745348280,1.14734,1.14736,1.14645,1.14676,375,0,0,28.92684
1745348340,1.14676,1.14696,1.14638,1.14651,379,0,0,25.93446
1745348400,1.14651,1.14666,1.14521,1.14522,444,0,0,16.46793
1745348460,1.14522,1.14570,1.14498,1.14506,616,0,0,15.70235
1745348520,1.14505,1.14550,1.14500,1.14526,466,0,0,20.66715
1745348580,1.14526,1.14581,1.14523,1.14558,315,0,0,27.97629
1745348640,1.14558,1.14577,1.14540,1.14577,291,0,0,31.98327
1745348700,1.14577,1.14653,1.14577,1.14648,343,0,0,44.42570
1745348760,1.14649,1.14685,1.14627,1.14683,286,0,0,49.34503
1745348820,1.14683,1.14683,1.14645,1.14656,248,0,0,45.96486
1745348880,1.14656,1.14662,1.14634,1.14651,211,0,0,45.34539
1745348940,1.14651,1.14688,1.14646,1.14673,255,0,0,48.62614
1745349000,1.14673,1.14676,1.14644,1.14665,219,0,0,47.50933
1745349060,1.14665,1.14678,1.14643,1.14645,162,0,0,44.74269
1745349120,1.14645,1.14660,1.14627,1.14636,234,0,0,43.51466
1745349180,1.14635,1.14636,1.14585,1.14588,336,0,0,37.58908
1745349240,1.14586,1.14598,1.14577,1.14598,201,0,0,39.43933
1745349300,1.14599,1.14609,1.14585,1.14605,139,0,0,40.76319
1745349360,1.14607,1.14614,1.14567,1.14577,266,0,0,37.25501
1745349420,1.14577,1.14584,1.14536,1.14544,213,0,0,33.58628
1745349480,1.14544,1.14552,1.14531,1.14536,142,0,0,32.74444
1745349540,1.14536,1.14544,1.14494,1.14509,240,0,0,30.01044
1745349600,1.14511,1.14519,1.14456,1.14481,317,0,0,27.45071
1745349660,1.14481,1.14482,1.14399,1.14450,420,0,0,24.91675
1745349720,1.14450,1.14454,1.14413,1.14447,439,0,0,24.67932
1745349780,1.14447,1.14465,1.14437,1.14439,214,0,0,24.02198
1745349840,1.14439,1.14458,1.14435,1.14438,239,0,0,23.93615
1745349900,1.14438,1.14448,1.14419,1.14427,229,0,0,22.96423
1745349960,1.14427,1.14447,1.14408,1.14408,238,0,0,21.35153
1745350020,1.14408,1.14456,1.14407,1.14441,298,0,0,30.48292
1745350080,1.14441,1.14492,1.14424,1.14492,303,0,0,41.74070
1745350140,1.14491,1.14523,1.14491,1.14513,282,0,0,45.64409
1745350200,1.14513,1.14528,1.14481,1.14503,261,0,0,44.12789
1745350260,1.14503,1.14526,1.14485,1.14499,211,0,0,43.50537
1745350320,1.14499,1.14501,1.14473,1.14497,204,0,0,43.17738
1745350380,1.14497,1.14502,1.14477,1.14486,248,0,0,41.33175
1745350440,1.14486,1.14505,1.14486,1.14499,135,0,0,44.35880
1745350500,1.14499,1.14503,1.14486,1.14494,162,0,0,43.43064
