combinazione_id;sl;tp;rsi_entry;rsi_exit;bb_std;exposure;cap_2013;capital_risk_2013;rank_2013;cap_2014;capital_risk_2014;rank_2014;cap_2015;capital_risk_2015;rank_2015;cap_2016;capital_risk_2016;rank_2016;cap_2017;capital_risk_2017;rank_2017;cap_2018;capital_risk_2018;rank_2018;cap_2019;capital_risk_2019;rank_2019;cap_2020;capital_risk_2020;rank_2020;cap_2021;capital_risk_2021;rank_2021;cap_2022;capital_risk_2022;rank_2022;cap_2023;capital_risk_2023;rank_2023;cap_media;risk_media;var_capitale;var_risk;rank_medio;cap_norm;risk_norm;var_cap_norm;var_risk_norm;rank_norm;score
570;0,0020;0,0300;40;55;1,7500;0,5000;1142674,98;0,34;136;8086,51;0,40;6;54,30;0,98;6692;98567,50;0,41;6;43554,21;0,47;526;19736,37;0,32;936;7630,02;0,77;616;69459,84;0,48;196;2956,47;0,60;1261;2480,24;0,71;1751;52611,06;0,42;500;131619,23;0,54;113487942800,17;0,04;1147,82;4,87;-0,04;2,78;-0,20;-1,92;11,08
6730;0,0020;0,0150;40;55;1,7500;0,5000;1142674,98;0,34;138;8086,51;0,40;8;54,30;0,98;6693;98567,50;0,41;8;43554,21;0,47;528;19736,37;0,32;938;7630,02;0,77;618;69459,84;0,48;198;2956,47;0,60;1263;2480,24;0,71;1753;52611,06;0,42;502;131619,23;0,54;113487942800,17;0,04;1149,73;4,87;-0,04;2,78;-0,20;-1,92;11,08
11410;0,0020;0,0200;40;55;1,7500;0,5000;1142674,98;0,34;139;8086,51;0,40;9;54,30;0,98;6694;98567,50;0,41;9;43554,21;0,47;529;19736,37;0,32;939;7630,02;0,77;619;69459,84;0,48;199;2956,47;0,60;1264;2480,24;0,71;1754;52611,06;0,42;503;131619,23;0,54;113487942800,17;0,04;1150,73;4,87;-0,04;2,78;-0,20;-1,92;11,08
11890;0,0020;0,0250;40;55;1,7500;0,5000;1142674,98;0,34;140;8086,51;0,40;10;54,30;0,98;6695;98567,50;0,41;10;43554,21;0,47;530;19736,37;0,32;940;7630,02;0,77;620;69459,84;0,48;200;2956,47;0,60;1265;2480,24;0,71;1755;52611,06;0,42;504;131619,23;0,54;113487942800,17;0,04;1151,73;4,87;-0,04;2,78;-0,20;-1,92;11,08
2250;0,0020;0,0100;40;55;1,7500;0,5000;1142674,98;0,34;137;8086,51;0,40;7;50,74;0,98;6746;98567,50;0,41;7;43554,21;0,47;527;19736,37;0,32;937;7630,02;0,77;617;69459,84;0,48;197;2956,47;0,60;1262;2480,24;0,71;1752;52611,06;0,42;501;131618,91;0,54;113488036515,49;0,04;1153,64;4,87;-0,04;2,78;-0,19;-1,92;11,07
9411;0,0100;0,0150;35;55;1,7500;0,6000;1286980,11;0,47;112;1354,18;0,37;1772;12,01;0,99;7940;2601,15;0,44;1758;3333,11;0,57;6873;75614,63;0,21;47;6733,95;0,86;757;30595,37;0,59;772;7675,16;0,41;162;275237,10;0,30;2;14964,55;0,58;2170;155009,21;0,53;147476841193,32;0,05;2033,18;5,80;-0,08;3,65;0,22;-1,57;11,03
1531;0,0040;0,0150;40;55;1,7500;0,6000;903790,62;0,32;187;5979,93;0,45;42;2,24;1,00;8920;83781,09;0,33;17;15892,85;0,43;2033;33263,79;0,53;462;9224,04;0,84;427;99273,93;0,74;77;3365,27;0,70;1037;1375,79;0,95;2379;342088,25;0,47;7;136185,25;0,61;74821890526,92;0,06;1417,09;5,05;0,26;1,79;0,40;-1,81;11,03
9891;0,0100;0,0200;35;55;1,7500;0,6000;1286980,11;0,47;113;1354,18;0,37;1773;12,01;0,99;7941;2601,15;0,44;1759;3333,11;0,57;6874;75614,63;0,21;48;6733,95;0,86;758;30595,37;0,59;773;7675,16;0,41;163;275237,10;0,30;3;14964,55;0,58;2171;155009,21;0,53;147476841193,32;0,05;2034,18;5,80;-0,08;3,65;0,22;-1,57;11,03
2011;0,0040;0,0200;40;55;1,7500;0,6000;903790,62;0,32;188;5979,93;0,45;43;2,24;1,00;8921;83781,09;0,33;18;15892,85;0,43;2034;33263,79;0,53;463;9224,04;0,84;428;99273,93;0,74;78;3365,27;0,70;1038;1375,79;0,95;2380;342088,25;0,47;8;136185,25;0,61;74821890526,92;0,06;1418,09;5,05;0,26;1,79;0,40;-1,81;11,03
10371;0,0100;0,0250;35;55;1,7500;0,6000;1286980,11;0,47;114;1354,18;0,37;1774;12,01;0,99;7942;2601,15;0,44;1760;3333,11;0,57;6875;75614,63;0,21;49;6733,95;0,86;759;30595,37;0,59;774;7675,16;0,41;164;275237,10;0,30;4;14964,55;0,58;2172;155009,21;0,53;147476841193,32;0,05;2035,18;5,80;-0,08;3,65;0,22;-1,57;11,03
2691;0,0040;0,0250;40;55;1,7500;0,6000;903790,62;0,32;189;5979,93;0,45;44;2,24;1,00;8922;83781,09;0,33;19;15892,85;0,43;2035;33263,79;0,53;464;9224,04;0,84;429;99273,93;0,74;79;3365,27;0,70;1039;1375,79;0,95;2381;342088,25;0,47;9;136185,25;0,61;74821890526,92;0,06;1419,09;5,05;0,26;1,79;0,40;-1,81;11,03
10851;0,0100;0,0300;35;55;1,7500;0,6000;1286980,11;0,47;115;1354,18;0,37;1775;12,01;0,99;7943;2601,15;0,44;1761;3333,11;0,57;6876;75614,63;0,21;50;6733,95;0,86;760;30595,37;0,59;775;7675,16;0,41;165;275237,10;0,30;5;14964,55;0,58;2173;155009,21;0,53;147476841193,32;0,05;2036,18;5,80;-0,08;3,65;0,22;-1,57;11,03
3171;0,0040;0,0300;40;55;1,7500;0,6000;903790,62;0,32;190;5979,93;0,45;45;2,24;1,00;8923;83781,09;0,33;20;15892,85;0,43;2036;33263,79;0,53;465;9224,04;0,84;430;99273,93;0,74;80;3365,27;0,70;1040;1375,79;0,95;2382;342088,25;0,47;10;136185,25;0,61;74821890526,92;0,06;1420,09;5,05;0,26;1,79;0,40;-1,81;11,03
1051;0,0040;0,0100;40;55;1,7500;0,6000;903790,62;0,32;186;5979,93;0,45;41;2,09;1,00;8971;83781,09;0,33;16;15892,85;0,43;2032;33263,79;0,53;461;9224,04;0,84;426;99273,93;0,74;76;3365,27;0,70;1036;1375,79;0,95;2378;342088,25;0,47;6;136185,24;0,61;74821894654,30;0,06;1420,82;5,05;0,26;1,79;0,40;-1,81;11,02
